No. of Faculty members with Ph.D qualification,Total no. of Faculty members,No. of Women Faculty members ,,,,,,,,
163,242,54,,,,,,,,
Academic Year,Program Level,Approve Intake of all years of duration,No. of Male students studying in all years of all programs,No. of Female students studying in all year of all programs,Total no.of students studying in all years of all programs,No. of students from Within State,No. of students from Outside State,No. of students from Outside Country,No. of students from Economically Backward Class,"No. of students from Socially Challenged Category (SC, ST & OBC) "
2016-17,UG [4 Years],3572,2484,736,3220,1625,1592,3,1075,1745
2016-17,PG [2 Years],296,141,51,192,111,81,0,71,117
2016-17,PG [3 Years],45,25,16,41,10,31,0,12,29
Academic Year,Program,No. of students receiving Freeships / Scholarships from the State and Central Government,No. of students receiving Freeships / Scholarships from Institution Funds,No. of students receiving Freeships / Scholarships from the Private Bodies,No. of students who are not receiving any Freeships / Scholarships ,,,,,
2016-17,UG [4 Years],644,0,11,2165,,,,,
2016-17,PG [2 Years],18,170,0,0,,,,,
2016-17,PG [3 Years],11,0,0,30,,,,,
Academic Year,Program,No. of students placed through placement,No. of students selected for Higher Studies,Median salary of placed graduates (in Rs.) ,,,,,,
2016-17,UG [4 Years],472,46,600000,,,,,,
2016-17,PG [2 Years],14,7,400000,,,,,,
2016-17,PG [3 Years],9,1,420000,,,,,,
Ph.D (Student pursuing doctoral program till 2016-17).,Total Students ,,,,,,,,,
Full Time,147,,,,,,,,,
Part Time,140,,,,,,,,,
,2016-17,2015-16,2014-15 ,,,,,,,
Full Time,4,3,1,,,,,,,
Part Time,18,14,3,,,,,,,
Academic Year,Program,No. of students admitted in the first year,No. of students admitted through lateral entry,No. of students graduating in minimum stipulated time ,,,,,,
2016-17,UG [4 Years],834,0,722,,,,,,
2016-17,PG [2 Years],106,0,84,,,,,,
2016-17,PG [3 Years],14,0,14,,,,,,
Financial Year,Annual Capital Expenditure (in Rs.),Annual Operational Expenditure (in Rs.),Total Annual Expenditure (in Rs.) ,,,,,,,
2014-15,156524420,260458487,416982907,,,,,,,
2015-16,105952156,328716427,434668583,,,,,,,
2016-17,90134921,401420350,491555271,,,,,,,
Source of Data,Publications,Citations,Top 25 % Highly Cited Papers ,,,,,,,
Web of Science,347,945,128,,,,,,,
Scopus,367,1309,105,,,,,,,
No. of Patents Granted,No. of Patents Published,Earnings from Patents (in Rs.) ,,,,,,,,
0,0,0,,,,,,,,
Financial Year,Amount (in Rs.) ,,,,,,,,,
2014-15,10379127,,,,,,,,,
2015-16,21866556,,,,,,,,,
2016-17,30988529,,,,,,,,,
Financial Year,Amount (in Rs.) ,,,,,,,,,
2014-15,27996269,,,,,,,,,
2015-16,16077450,,,,,,,,,
2016-17,27161028,,,,,,,,,
Do your institution have Lifts/Ramps ?,"Do your institution have provision for walking aids, including wheelchairs and transportation from one building to another for handicapped students?",Do your institution have specially designed toilets for handicapped students? ,,,,,,,,
"Yes, in all the buildings","Yes, in all the buildings","Yes, in all the buildings ",,,,,,,,
Perception ,,,,,,,,,,
3,,,,,,,,,,
