No. of Faculty members with Ph.D qualification,Total no. of Faculty members,No. of Women Faculty members ,,,,,,,,
211,310,95,,,,,,,,
Academic Year,Program Level,Approve Intake of all years of duration,No. of Male students studying in all years of all programs,No. of Female students studying in all year of all programs,Total no.of students studying in all years of all programs,No. of students from Within State,No. of students from Outside State,No. of students from Outside Country,No. of students from Economically Backward Class,"No. of students from Socially Challenged Category (SC, ST & OBC) "
2016-17,UG [4 Years],3972,2743,949,3692,1803,1846,43,950,1819
2016-17,PG [2 Years],1240,517,204,721,343,378,0,122,419
Academic Year,Program,No. of students receiving Freeships / Scholarships from the State and Central Government,No. of students receiving Freeships / Scholarships from Institution Funds,No. of students receiving Freeships / Scholarships from the Private Bodies,No. of students who are not receiving any Freeships / Scholarships ,,,,,
2016-17,UG [4 Years],1288,0,0,1481,,,,,
2016-17,PG [2 Years],522,0,0,19,,,,,
Academic Year,Program,No. of students placed through placement,No. of students selected for Higher Studies,Median salary of placed graduates (in Rs.) ,,,,,,
2016-17,UG [4 Years],489,47,600000,,,,,,
2016-17,PG [2 Years],189,7,775000,,,,,,
Ph.D (Student pursuing doctoral program till 2016-17).,Total Students ,,,,,,,,,
Full Time,490,,,,,,,,,
Part Time,87,,,,,,,,,
,2016-17,2015-16,2014-15 ,,,,,,,
Full Time,37,46,36,,,,,,,
Part Time,4,6,3,,,,,,,
Academic Year,Program,No. of students admitted in the first year,No. of students admitted through lateral entry,No. of students graduating in minimum stipulated time ,,,,,,
2016-17,UG [4 Years],948,0,802,,,,,,
2016-17,PG [2 Years],411,0,331,,,,,,
Financial Year,Annual Capital Expenditure (in Rs.),Annual Operational Expenditure (in Rs.),Total Annual Expenditure (in Rs.) ,,,,,,,
2014-15,86695026,613528917,700223943,,,,,,,
2015-16,243378893,773233947,1016612840,,,,,,,
2016-17,177177986,841454733,1018632719,,,,,,,
Source of Data,Publications,Citations,Top 25 % Highly Cited Papers ,,,,,,,
Web of Science,742,1324,167,,,,,,,
Scopus,684,2103,136,,,,,,,
Financial Year,Amount (in Rs.) ,,,,,,,,,
2014-15,16118922,,,,,,,,,
2015-16,29332056,,,,,,,,,
2016-17,27966398,,,,,,,,,
Financial Year,Amount (in Rs.) ,,,,,,,,,
2014-15,1972879,,,,,,,,,
2015-16,5772351,,,,,,,,,
2016-17,5969213,,,,,,,,,
Do your institution have Lifts/Ramps ?,"Do your institution have provision for walking aids, including wheelchairs and transportation from one building to another for handicapped students?",Do your institution have specially designed toilets for handicapped students? ,,,,,,,,
"Yes, in some of the buildings","Yes, in some of the buildings","Yes, in some of the buildings ",,,,,,,,
Perception ,,,,,,,,,,
101,,,,,,,,,,
